trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9999875000260416}",25,0,-194.30916098196502,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.005, 'e': 0.9999500004166653}",30,0,-274.1646622913558,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 6}",0
3,False,"{'a': 0.005, 'e': 0.9998875021093592}",25,0,-132.3642357030861,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9998000066665778}",25,0,-58.35975669645046,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9996875162757026}",30,0,-165.74294007359626,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",1
6,False,"{'a': 0.005, 'e': 0.9995500337489875}",30,0,-250.4518210895886,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
7,False,"{'a': 0.005, 'e': 0.9993875625234886}",20,0,-122.94516101125225,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9992001066609779}",25,2,-159.4592637265195,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 2}",1
9,False,"{'a': 0.005, 'e': 0.9989876708478425}",30,0,-130.63746740361975,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.9987502603949663}",20,0,-75.49448369959269,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.005, 'e': 0.9984878812375985}",20,0,-72.68197704811962,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.005, 'e': 0.9982005399352042}",20,0,-184.3151144942887,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
13,False,"{'a': 0.005, 'e': 0.9978882436713011}",25,0,-167.44742490890243,"{0: 13, 1: 5, 2: 2, 3: 3, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9975510002532796}",20,9,-23.204344269594202,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.005, 'e': 0.9971888181122075}",25,0,-118.3944916126768,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.9968017063026194}",20,0,-156.7470824975773,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.005, 'e': 0.9963896745022904}",25,0,-71.08770665949552,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9959527330119943}",25,0,-146.05383766990352,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.005, 'e': 0.9954908927552453}",25,0,-98.33370597134464,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.005, 'e': 0.9950041652780257}",20,6,-121.86349633889614,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
21,False,"{'a': 0.005, 'e': 0.9944925627484974}",25,0,-216.21838088033272,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
22,False,"{'a': 0.005, 'e': 0.9939560979566968}",30,0,-203.26527936708507,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
23,False,"{'a': 0.005, 'e': 0.9933947843142158}",25,0,-307.66374199563273,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 6}",0
24,False,"{'a': 0.005, 'e': 0.9928086358538663}",25,0,-207.66369105821278,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
25,False,"{'a': 0.005, 'e': 0.992197667229329}",30,0,-83.98616625165693,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
