trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.99196738972657,"{0: 14, 1: 7, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.01736251094192,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.743580035428856,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.88773158861096,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.1232609932998,"{0: 10, 1: 7, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.69122775476477,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.962761382031154,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.6294124571269,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.20036006525359,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.0554336849377,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,17,0.1486266752079981,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.67583459051168,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.04300403918569,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.5348958929651,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.91617994558675,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.39293660464563,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,16,7.544983574298031,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.06908530350704,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.05129787395934,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.639132389703,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.62337596620243,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.04082173191287,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.44754182690562,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.43728966208516,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.80771013257998,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-12.864101340116243,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.9957909915033,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.225841743564665,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,6,-51.01307657384073,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.55255422056806,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
